user_id,user_name,days_since_signup,sessions_last_7d,sessions_last_30d,avg_session_minutes,models_used_count,api_calls_last_30d,tokens_consumed_last_30d,tools_used_count,failed_requests_rate,support_tickets_last_90d,plan_tier,payment_failures_last_90d,feature_adoption_score,nps_score,last_active_days_ago,weekend_usage_ratio,engagement_trend,spend_usd_last_30d,days_until_renewal,agent_runs_last_30d,ide_plugin_sessions_last_30d,seat_utilization
santosh_shinde,Santosh Shinde,420,9,38,28.5,7,1850,420000,8,0.12,2,pro,1,0.78,7.0,8,0.22,0.9474,189.0,21,52,28,0.72
user_00011,Quinn Patel,760,2,8,33.2,3,112,14953,5,0.1896,2,free,1,0.4162,7.8,19,0.1643,1.0012,0.0,180,7,6,0.5595
user_00017,Casey Brown,633,2,10,27.0,6,309,54791,6,0.2345,2,starter,1,0.489,8.1,20,0.1408,0.8125,19.95,29,48,13,0.6318
user_00084,Morgan Garcia,688,3,12,43.5,4,240,42341,9,0.1086,1,free,0,0.6471,10.0,8,0.1325,1.0271,0.0,287,51,24,0.8089
user_00121,Riley Patel,45,8,43,21.0,4,636,73839,6,0.1981,2,pro,1,0.5906,9.7,28,0.0894,0.6979,126.75,129,24,16,0.6306
user_00144,Taylor Wilson,696,5,23,10.8,3,431,63620,5,0.3147,5,enterprise,2,0.2989,5.2,34,0.6455,0.9478,404.01,38,38,17,0.5292
user_00171,Casey Brown,415,7,35,43.9,8,1231,696992,9,0.1418,3,enterprise,0,0.6507,8.8,11,0.2974,0.7816,701.25,357,56,27,0.7306
user_00205,Morgan Davis,578,1,7,32.5,5,280,85507,8,0.0926,1,free,0,0.5068,9.7,10,0.1941,0.5927,0.0,125,35,17,0.6291
user_00239,Sam Lee,255,17,39,40.7,7,634,158333,8,0.0819,1,starter,0,0.6469,9.1,9,0.5654,1.716,57.24,60,30,18,0.6731
user_00255,Morgan Wilson,569,3,33,39.6,5,798,306473,6,0.1621,2,pro,0,0.5631,9.3,22,0.1904,0.3937,132.71,133,59,14,0.7131
user_00287,Alex Davis,605,4,24,20.4,5,695,412108,6,0.1519,2,starter,1,0.3683,5.4,21,0.1198,0.5961,48.07,172,20,21,0.4399
user_00436,Alex Wilson,188,1,9,19.5,3,254,59347,2,0.3047,4,starter,2,0.3164,3.7,33,0.6793,0.4625,44.74,99,18,9,0.5001
user_00454,Jordan Garcia,56,3,9,17.1,5,60,28322,5,0.2091,3,free,1,0.3934,6.8,22,0.318,1.3031,0.0,321,13,2,0.4988
user_00477,Casey Brown,301,6,16,12.9,4,291,142309,2,0.2925,4,starter,2,0.2067,5.7,34,0.2824,1.5218,17.85,6,16,11,0.4497
user_00479,Morgan Brown,825,6,27,47.6,11,1444,861038,14,0.0344,0,enterprise,0,0.84,9.6,3,0.2024,0.9775,750.47,316,43,31,0.9555
user_00480,Sam Patel,491,3,4,21.4,2,79,37636,4,0.2378,4,free,1,0.2164,5.8,27,0.2326,3.035,0.0,98,23,5,0.5537
user_00484,Jordan Brown,700,8,37,35.9,10,469,187191,9,0.1392,1,pro,0,0.535,9.1,15,0.291,0.8844,152.82,118,30,28,0.7522
user_00548,Taylor Davis,40,4,21,24.7,3,439,212342,4,0.2232,3,free,1,0.3934,6.9,29,0.0379,0.6773,0.0,37,16,11,0.3568
user_00568,Casey Garcia,451,2,7,25.1,1,257,47483,4,0.2454,3,starter,1,0.3606,6.7,27,0.4334,1.2095,27.52,295,2,14,0.5896
user_00587,Taylor Kim,792,3,10,39.3,8,512,138688,8,0.1108,0,pro,0,0.695,8.9,7,0.1439,1.2468,153.57,361,67,28,0.6343
user_00598,Jordan Wilson,539,9,28,33.7,4,299,176911,5,0.176,3,free,1,0.4245,4.7,17,0.276,1.2955,0.0,111,16,15,0.5279
user_00614,Alex Patel,813,12,40,32.6,5,1147,457777,5,0.2168,3,pro,1,0.386,4.5,24,0.4007,1.1325,88.46,270,25,19,0.5074
user_00629,Quinn Kim,196,3,20,26.2,7,958,345839,8,0.1185,1,starter,0,0.5456,8.0,11,0.3161,0.6117,50.46,215,37,17,0.702
user_00656,Riley Davis,28,6,31,34.8,10,246,123176,9,0.0776,1,pro,0,0.6084,7.3,10,0.3264,0.7264,164.69,315,50,25,0.801
user_00719,Riley Davis,327,3,16,25.5,2,384,107163,3,0.1712,2,free,1,0.3943,7.3,20,0.2399,0.7421,0.0,43,17,14,0.5563
user_00738,Quinn Patel,575,2,12,27.7,5,384,163972,3,0.2674,3,free,1,0.2881,4.3,26,0.6637,0.6598,0.0,82,20,12,0.3985
user_00750,Riley Garcia,286,2,13,32.5,5,302,42239,6,0.1214,2,starter,0,0.5597,9.1,14,0.5336,0.6028,30.76,300,51,15,0.6501
